Wavelength (nm),Transmission (%)
1180,41.90799
1179,41.62732
1178,41.54014
1177,41.62089
1176,41.85599
1175,42.18148
1174,42.54274
1173,42.81092
1172,42.91056
1171,42.79568
1170,42.44519
1169,41.87744
1168,41.17434
1167,40.44224
1166,39.69328
1165,39.15984
1164,38.87285
1163,38.84761
1162,39.06173
1161,39.46657
1160,40.00997
1159,40.56449
1158,41.05488
1157,41.37122
1156,41.46473
1155,41.37081
1154,41.10473
1153,40.77985
1152,40.45295
1151,40.25440
1150,40.23776
1149,40.38788
1148,40.69132
1147,41.09617
1146,41.53462
1145,41.90456
1144,42.21387
1143,42.40770
1142,42.53566
1141,42.61727
1140,42.67881
1139,42.76856
1138,42.89921
1137,43.10570
1136,43.32868
1135,43.45243
1134,43.38529
1133,43.16993
1132,42.77514
1131,42.24632
1130,41.61231
1129,40.88859
1128,40.32600
1127,40.00782
1126,40.00120
1125,40.29613
1124,40.83315
1123,41.55012
1122,42.26061
1121,42.67678
1120,42.62454
1119,42.01310
1118,40.91548
1117,39.43820
1116,37.86848
1115,36.50835
1114,35.50737
1113,34.98091
1112,34.95729
1111,35.43469
1110,36.31026
1109,37.42970
1108,38.62223
1107,39.58403
1106,40.11906
1105,40.23204
1104,39.94259
1103,39.38770
1102,38.79903
1101,38.38734
1100,38.28132
1099,38.53744
1098,39.16209
1097,40.06826
1096,41.12578
1095,42.16771
1094,43.09502
1093,43.70484
1092,44.02673
1091,44.07370
1090,43.94806
1089,43.88347
1088,43.93562
1087,44.11367
1086,44.39235
1085,44.63893
1084,44.71560
1083,44.39657
1082,43.75524
1081,42.77554
1080,41.58790
1079,40.43114
1078,39.43802
1077,38.73722
1076,38.27494
1075,38.09866
1074,38.04182
1073,37.91878
1072,37.63804
1071,37.12793
1070,36.47396
1069,35.82186
1068,35.22833
1067,34.97922
1066,35.07862
1065,35.49334
1064,36.08165
1063,36.63910
1062,36.83605
1061,36.54714
1060,35.67139
1059,34.25384
1058,32.88073
1057,31.58487
1056,30.68407
1055,30.35676
1054,30.68839
1053,31.71031
1052,33.31083
1051,35.34629
1050,37.32350
1049,38.65523
1048,39.20270
1047,38.76816
1046,37.69720
1045,36.30445
1044,35.32634
1043,34.95764
1042,35.50894
1041,36.95202
1040,39.24328
1039,42.06503
1038,44.52635
1037,46.33591
1036,46.98889
1035,46.58077
1034,45.58434
1033,44.75912
1032,44.46408
1031,44.98142
1030,46.22844
1029,47.89129
1028,49.29518
1027,50.02870
1026,49.71699
1025,48.51416
1024,46.94973
1023,45.53418
1022,44.84853
1021,45.00578
1020,45.97026
1019,47.36714
1018,48.60721
1017,49.04070
1016,48.39566
1015,46.68213
1014,44.27997
1013,41.94386
1012,40.16415
1011,39.39478
1010,39.61994
1009,40.77045
1008,42.60537
1007,44.49525
1006,45.80361
1005,46.23393
1004,45.67263
1003,44.49105
1002,43.40909
1001,42.97409
1000,43.57213
999,45.26910
998,47.77981
997,50.41468
996,52.63578
995,53.72697
994,53.60708
993,52.70209
992,51.68656
991,51.15988
990,51.40905
989,52.29336
988,53.38471
987,54.02248
986,53.75745
985,52.60784
984,50.99596
983,49.36899
982,48.24027
981,47.90615
980,48.18013
979,48.67657
978,48.88501
977,48.39044
976,47.08909
975,45.22652
974,43.21880
973,41.88026
972,41.27075
971,41.49469
970,42.41784
969,43.59549
968,44.45171
967,44.53667
966,43.78938
965,42.61102
964,41.48859
963,40.98738
962,41.47529
961,43.03808
960,45.38412
959,47.74492
958,49.79827
957,51.03174
956,51.44687
955,51.70838
954,52.43410
953,53.97862
952,56.29570
951,58.85480
950,60.62930
949,61.20007
948,60.53957
947,59.39905
946,58.67081
945,59.12327
944,60.69479
943,62.65795
942,64.00999
941,63.60600
940,61.20994
939,57.73899
938,54.31247
937,51.71551
936,50.66820
935,50.67298
934,50.69662
933,49.65555
932,47.01800
931,43.02887
930,38.49384
929,34.68695
928,32.18435
927,31.68122
926,33.15252
925,36.10988
924,39.51371
923,41.70573
922,41.97367
921,40.34068
920,37.64102
919,35.35430
918,34.72675
917,36.27127
916,39.67262
915,44.09966
914,48.28126
913,50.52718
912,50.80737
911,49.78020
910,48.75458
909,49.16749
908,51.64806
907,56.17710
906,62.00867
905,67.45850
904,71.53038
903,73.70493
902,74.02040
901,73.00755
900,71.31126
899,69.69204
898,68.68716
897,68.61187
896,69.59078
895,71.32355
894,72.94858
893,73.58310
892,72.48522
891,69.43413
890,65.05119
