Wavelength (nm),Transmission (%),,,,,,
1817,81.09629441,,,,,,
1816,81.11569977,,,,,,
1815,81.02566147,,,,,,
1814,81.05472565,,,,,,
1813,81.06254197,,,,,,
1812,81.11435318,,,,,,
1811,81.03793335,,,,,,
1810,80.93364334,,,,,,
1809,81.11172104,,,,,,
1808,81.01097489,,,,,,
1807,81.00188065,,,,,,
1806,80.99242401,,,,,,
1805,80.89040757,,,,,,
1804,80.94404221,,,,,,
1803,80.91617966,,,,,,
1802,80.862957,,,,,,
1801,80.87971115,,,,,,
1800,80.84560776,,,,,,
1799,80.83607864,,,,,,
1798,80.84949112,,,,,,
1797,80.78442002,,,,,,
1796,80.77062226,,,,,,
1795,80.76296616,,,,,,
1794,80.73434067,,,,,,
1793,80.74382401,,,,,,
1792,80.66001892,,,,,,
1791,80.6962204,,,,,,
1790,80.68206406,,,,,,
1789,80.61223602,,,,,,
1788,80.66558075,,,,,,
1787,80.59101105,,,,,,
1786,80.56667709,,,,,,
1785,80.59999848,,,,,,
1784,80.59133912,,,,,,
1783,80.5547638,,,,,,
1782,80.54364014,,,,,,
1781,80.5227089,,,,,,
1780,80.54109955,,,,,,
1779,80.46509552,,,,,,
1778,80.47996903,,,,,,
1777,80.42247009,,,,,,
1776,80.39278031,,,,,,
1775,80.34147263,,,,,,
1774,80.36846924,,,,,,
1773,80.40270996,,,,,,
1772,80.36039353,,,,,,
1771,80.27235032,,,,,,
1770,80.29768753,,,,,,
1769,80.29246903,,,,,,
1768,80.32641602,,,,,,
1767,80.27383042,,,,,,
1766,80.23023606,,,,,,
1765,80.23603821,,,,,,
1764,80.1831131,,,,,,
1763,80.17060852,,,,,,
1762,80.11790085,,,,,,
1761,80.11362076,,,,,,
1760,80.04049301,,,,,,
1759,80.13247681,,,,,,
1758,80.05869675,,,,,,
1757,80.05619431,,,,,,
1756,80.02790451,,,,,,
1755,80.06039429,,,,,,
1754,79.96049118,,,,,,
1753,79.95120239,,,,,,
1752,79.91571045,,,,,,
1751,79.96599579,,,,,,
1750,79.9156456,,,,,,
1749,79.9670372,,,,,,
1748,79.8195076,,,,,,
1747,79.83993149,,,,,,
1746,79.80302048,,,,,,
1745,79.7771225,,,,,,
1744,79.79669953,,,,,,
1743,79.71675492,,,,,,
1742,79.82720185,,,,,,
1741,79.68535614,,,,,,
1740,79.73291398,,,,,,
1739,79.65375138,,,,,,
1738,79.62753296,,,,,,
1737,79.61842346,,,,,,
1736,79.56667328,,,,,,
1735,79.50863648,,,,,,
1734,79.53603363,,,,,,
1733,79.51988221,,,,,,
1732,79.49136353,,,,,,
1731,79.43474197,,,,,,
1730,79.42562867,,,,,,
1729,79.45160294,,,,,,
1728,79.3983078,,,,,,
1727,79.42460632,,,,,,
1726,79.34411622,,,,,,
1725,79.30486679,,,,,,
1724,79.2731514,,,,,,
1723,79.28454209,,,,,,
1722,79.26044083,,,,,,
1721,79.24094772,,,,,,
1720,79.20142746,,,,,,
1719,79.18424988,,,,,,
1718,79.12226868,,,,,,
1717,79.12617874,,,,,,
1716,79.05397415,,,,,,
1715,79.11391068,,,,,,
1714,79.1318512,,,,,,
1713,79.01097488,,,,,,
1712,79.06140137,,,,,,
1711,78.98420334,,,,,,
1710,78.96211624,,,,,,
1709,78.87803269,,,,,,
1708,78.89690018,,,,,,
1707,78.81087113,,,,,,
1706,78.8306427,,,,,,
1705,78.81847763,,,,,,
1704,78.82086945,,,,,,
1703,78.79142762,,,,,,
1702,78.71689224,,,,,,
1701,78.73178864,,,,,,
1700,78.66287613,,,,,,
1699,78.63667679,,,,,,
1698,78.61875153,,,,,,
1697,78.60362626,,,,,,
1696,78.56716538,,,,,,
1695,78.60658265,,,,,,
1694,78.54293442,,,,,,
1693,78.52188492,,,,,,
1692,78.49075699,,,,,,
1691,78.50454712,,,,,,
1690,78.44512558,,,,,,
1689,78.41229248,,,,,,
1688,78.3591919,,,,,,
1687,78.3806572,,,,,,
1686,78.26820374,,,,,,
1685,78.35434723,,,,,,
1684,78.2830925,,,,,,
1683,78.24486542,,,,,,
1682,78.23564148,,,,,,
1681,78.19145203,,,,,,
1680,78.14646149,,,,,,
1679,78.15365601,,,,,,
1678,78.07352448,,,,,,
1677,78.0762024,,,,,,
1676,78.0329361,,,,,,
1675,78.07101822,,,,,,
1674,77.9776764,,,,,,
1673,77.94921112,,,,,,
1672,77.91019821,,,,,,
1671,77.94831467,,,,,,
1670,77.86587143,,,,,,
1669,77.87555695,,,,,,
1668,77.78940583,,,,,,
1667,77.78852463,,,,,,
1666,77.75770188,,,,,,
1665,77.78169632,,,,,,
1664,77.72299957,,,,,,
1663,77.66150666,,,,,,
1662,77.59219742,,,,,,
1661,77.63243866,,,,,,
1660,77.57818222,,,,,,
1659,77.55609894,,,,,,
1658,77.54534912,,,,,,
1657,77.48067475,,,,,,
1656,77.46501541,,,,,,
1655,77.44529534,,,,,,
1654,77.36482621,,,,,,
1653,77.39663506,,,,,,
1652,77.33387184,,,,,,
1651,77.31031609,,,,,,
1650,77.2839737,,,,,,
1649,77.22699166,,,,,,
1648,77.26220322,,,,,,
1647,77.1594925,,,,,,
1646,77.20206833,,,,,,
1645,77.13680268,,,,,,
1644,77.15660095,,,,,,
1643,77.08739662,,,,,,
1642,77.05379296,,,,,,
1641,77.0534668,,,,,,
1640,77.01786041,,,,,,
1639,76.95650864,,,,,,
1638,76.93288231,,,,,,
1637,76.88473511,,,,,,
1636,76.87097359,,,,,,
1635,76.8242817,,,,,,
1634,76.817379,,,,,,
1633,76.7517128,,,,,,
1632,76.7447052,,,,,,
1631,76.72991181,,,,,,
1630,76.6555996,,,,,,
1629,76.65291024,,,,,,
1628,76.6247406,,,,,,
1627,76.57951546,,,,,,
1626,76.53117943,,,,,,
1625,76.51077271,,,,,,
1624,76.50095749,,,,,,
1623,76.4498787,,,,,,
1622,76.38884354,,,,,,
1621,76.39040375,,,,,,
